"","X1","date","block","number","species","percent_cover","colour","timediff"
"105",622,2019-06-15,"A",10,"ulothrix",2,"warm",9.10119047619048
"106",623,2019-06-15,"A",11,"ulothrix",13,"ambient",9.10119047619048
"107",624,2019-06-15,"A",12,"ulothrix",3,"ambient",9.10119047619048
"108",625,2019-06-15,"A",13,"ulothrix",0,"ambient",9.10119047619048
"109",626,2019-06-15,"A",14,"ulothrix",0.5,"warm",9.10119047619048
"110",627,2019-06-15,"A",15,"ulothrix",2,"warm",9.10119047619048
"111",628,2019-06-15,"A",16,"ulothrix",4,"ambient",9.10119047619048
"112",629,2019-06-15,"B",1,"ulothrix",0,"warm",9.10119047619048
"113",630,2019-06-15,"B",2,"ulothrix",6,"warm",9.10119047619048
"114",631,2019-06-15,"B",3,"ulothrix",24,"ambient",9.10119047619048
"115",632,2019-06-15,"B",4,"ulothrix",6,"ambient",9.10119047619048
"116",633,2019-06-15,"B",5,"ulothrix",0,"ambient",9.10119047619048
"117",634,2019-06-15,"B",6,"ulothrix",0.5,"warm",9.10119047619048
"118",635,2019-06-15,"B",7,"ulothrix",41.5,"warm",9.10119047619048
"119",636,2019-06-15,"B",8,"ulothrix",15,"warm",9.10119047619048
"120",637,2019-06-15,"B",9,"ulothrix",14,"ambient",9.10119047619048
"121",638,2019-06-15,"B",10,"ulothrix",13,"warm",9.10119047619048
"122",639,2019-06-15,"B",11,"ulothrix",2,"ambient",9.10119047619048
"123",640,2019-06-15,"B",12,"ulothrix",0,"warm",9.10119047619048
"124",641,2019-06-15,"B",13,"ulothrix",21,"ambient",9.10119047619048
"125",642,2019-06-15,"B",14,"ulothrix",15,"warm",9.10119047619048
"126",643,2019-06-15,"B",15,"ulothrix",0.5,"ambient",9.10119047619048
"127",644,2019-06-15,"B",16,"ulothrix",14,"warm",9.10119047619048
"128",645,2019-06-15,"C",1,"ulothrix",44,"warm",9.10119047619048
"129",646,2019-06-15,"C",2,"ulothrix",23,"ambient",9.10119047619048
"130",647,2019-06-15,"C",3,"ulothrix",66,"ambient",9.10119047619048
