"","date_time","temp","block","number","colour"
"196","2019-06-14 21:02:00",12,"A","rock","rock"
"197","2019-06-14 22:02:00",12.5,"A","rock","rock"
"198","2019-06-14 23:02:00",12.5,"A","rock","rock"
"199","2019-06-15 00:02:00",13,"A","rock","rock"
"200","2019-06-15 01:02:00",13,"A","rock","rock"
"201","2019-06-15 02:02:00",12.5,"A","rock","rock"
"202","2019-06-15 03:02:00",12.5,"A","rock","rock"
"203","2019-06-15 04:02:00",12,"A","rock","rock"
"204","2019-06-15 05:02:00",12.5,"A","rock","rock"
"205","2019-06-15 06:02:00",12.5,"A","rock","rock"
"206","2019-06-15 07:02:00",18,"A","rock","rock"
"207","2019-06-15 08:02:00",23,"A","rock","rock"
"208","2019-06-15 09:02:00",27,"A","rock","rock"
"209","2019-06-15 10:02:00",31.5,"A","rock","rock"
"210","2019-06-15 11:02:00",31,"A","rock","rock"
"211","2019-06-15 12:02:00",35.5,"A","rock","rock"
"212","2019-06-15 13:02:00",36,"A","rock","rock"
"213","2019-06-15 14:02:00",33.5,"A","rock","rock"
"214","2019-06-15 15:02:00",19,"A","rock","rock"
"215","2019-06-15 16:02:00",14,"A","rock","rock"
"216","2019-06-15 17:02:00",13,"A","rock","rock"
"217","2019-06-15 18:02:00",12.5,"A","rock","rock"
"218","2019-06-15 19:02:00",12,"A","rock","rock"
"219","2019-06-15 20:02:00",12,"A","rock","rock"
"220","2019-06-15 21:02:00",12.5,"A","rock","rock"
"221","2019-06-15 22:02:00",12.5,"A","rock","rock"
"222","2019-06-15 23:02:00",12.5,"A","rock","rock"
"223","2019-06-16 00:02:00",12.5,"A","rock","rock"
"224","2019-06-16 01:02:00",13,"A","rock","rock"
"225","2019-06-16 02:02:00",13,"A","rock","rock"
"226","2019-06-16 03:02:00",13,"A","rock","rock"
"227","2019-06-16 04:02:00",13,"A","rock","rock"
"228","2019-06-16 05:02:00",13,"A","rock","rock"
"229","2019-06-16 06:02:00",12.5,"A","rock","rock"
"230","2019-06-16 07:02:00",17.5,"A","rock","rock"
"231","2019-06-16 08:02:00",17.5,"A","rock","rock"
